date,surface_pressure,temperature_2m,total_evaporation_sum,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1
01-01-2010,91130.47689,293.6388048,-0.002764098,2.92E-06,-3.04762586,0.005307674,0.425994237
02-01-2010,91259.2679,293.1866366,-0.003230246,6.22E-06,-2.613795598,-0.709940394,0.40108935
03-01-2010,91235.09554,292.5836601,-0.003046918,1.56E-05,-1.826649984,-0.604717731,0.382525762
04-01-2010,91060.95329,292.6717332,-0.003213729,2.34E-06,-1.535960118,-1.040081342,0.366551717
05-01-2010,90944.38509,293.6889661,-0.003193036,4.35E-07,-2.146431009,-0.762781223,0.351880391
06-01-2010,90960.49121,293.3885314,-0.002781324,0,-2.73629125,-0.294583003,0.339378993
07-01-2010,91065.59619,292.8997879,-0.002759683,1.34E-06,-2.14280955,-0.259291967,0.328802109
08-01-2010,91081.97363,294.2560113,-0.002773697,0,-2.344215393,-0.425636649,0.319277445
09-01-2010,91097.85938,294.7797572,-0.001844866,0.000741988,-2.64642938,0.573778907,0.315737406
10-01-2010,91182.81559,295.2033482,-0.002069822,4.67E-05,-2.229899208,1.314229925,0.310780207
11-01-2010,91254.65495,295.5156358,-0.002095927,0.000156182,-1.792697271,1.738203208,0.305725098
12-01-2010,91326.88037,295.1777884,-0.002047542,0.00145312,-1.00787735,0.747106552,0.307500203
13-01-2010,91375.07454,294.9646994,-0.001717816,0.001625463,-1.22205925,0.19587485,0.317870458
14-01-2010,91419.91634,295.5799255,-0.002177318,3.69E-05,-2.922335307,0.511154373,0.317510605
15-01-2010,91519.64616,293.9892673,-0.00233854,2.57E-06,-3.224173387,-0.166847706,0.309589386
16-01-2010,91596.97054,293.194259,-0.00236314,9.80E-06,-3.172659556,-0.275728345,0.302140554
17-01-2010,91566.76742,294.4087874,-0.002219377,1.53E-05,-3.000258446,-0.251234094,0.295822779
18-01-2010,91438.42904,294.8397439,-0.001959817,0.000267506,-2.032606721,0.215146184,0.292147954
19-01-2010,91295.33073,294.6321214,-0.00189,0.000289443,-2.34104983,0.244641304,0.289674759
20-01-2010,91364.5472,294.5768153,-0.002063109,2.57E-06,-2.14451774,0.028277477,0.285971959
21-01-2010,91272.82699,293.3719527,-0.002396716,0,-2.11793836,-0.773742676,0.281447728
22-01-2010,91261.53451,293.0136534,-0.002328295,8.52E-07,-2.027521769,-0.542180896,0.277230581
23-01-2010,91234.23096,292.7520828,-0.002207292,2.14E-06,-2.725785573,-0.137675603,0.273729324
24-01-2010,91145.77067,293.3633175,-0.002237149,8.59E-06,-2.138739268,0.262135903,0.270568848
25-01-2010,91190.40169,294.4090201,-0.001848013,6.42E-06,-2.424467961,0.443195979,0.267983754
26-01-2010,91265.229,294.3029753,-0.001780616,5.59E-06,-2.724748611,0.465000669,0.265778224
27-01-2010,91278.5957,294.2493547,-0.001483574,1.15E-05,-2.76640447,0.431394299,0.264075597
28-01-2010,91306.01969,294.3921903,-0.001764257,3.50E-06,-3.129877726,0.536261797,0.262411118
29-01-2010,91308.24593,294.4705372,-0.001854357,2.15E-06,-2.743467331,-0.176930825,0.260718028
30-01-2010,91289.24463,294.7298539,-0.001968601,2.58E-06,-2.39781479,-0.181808472,0.259143194
